Node,pressure,concentration,people
Node 0,5.530952049927149,446.31312116107307,9
Node 0,5.530952049927149,446.9143238774218,9
Node 0,5.530952049927149,447.51463107538126,9
Node 0,5.530952049927149,448.1140430252484,9
Node 0,5.530952049927149,448.7125600052306,9
Node 0,5.530952049927149,449.31018230137556,9
Node 0,5.530952049927149,449.90691020750137,9
Node 0,5.530952049927149,450.5027440251277,9
Node 0,5.530952049927149,451.0976840634072,9
Node 0,5.530952049927149,451.6917306390578,9
Node 0,5.530952049927149,452.2848840762956,9
Node 0,5.530952049927149,452.877144706768,9
Node 0,5.530952049927149,453.4685128694879,9
Node 0,5.530952049927149,454.0589889107683,9
Node 0,5.530952049927149,454.6485731841574,9
Node 0,5.530952049927149,455.2372660503744,9
Node 0,5.530952049927149,455.8250678772458,9
Node 0,5.530952049927149,456.4119790396422,9
Node 0,5.530952049927149,456.9979999194159,9
Node 0,5.530952049927149,457.5831309053389,9
Node 0,5.530952049927149,458.16737239304126,9
Node 0,5.530952049927149,458.7507247849503,9
Node 0,5.530952049927149,459.33318849023027,9
Node 0,5.530952049927149,459.91476392472237,9
Node 0,5.530952049927149,460.4954515108856,9
Node 0,5.530952049927149,461.0752516777377,9
Node 0,5.530952049927149,461.65416486079715,9
Node 0,5.530952049927149,462.23219150202516,9
Node 0,5.530952049927149,462.80933204976844,9
Node 0,5.530952049927149,463.38558695870245,9
Node 0,5.530952049927149,463.960956689775,9
Node 0,5.530952049927149,464.5354417101506,9
Node 0,5.530952049927149,465.109042493155,9
Node 0,5.530952049927149,465.6817595182203,9
Node 0,5.530952049927149,466.2535932708307,9
Node 0,5.530952049927149,466.8245442424685,9
Node 0,5.530952049927149,467.3946129305606,9
Node 0,5.530952049927149,467.96379983842553,9
Node 0,5.530952049927149,468.53210547522104,9
Node 0,5.530952049927149,469.0995303558917,9
Node 0,5.530952049927149,469.6660750011175,9
Node 0,5.530952049927149,470.23173993726255,9
Node 0,5.530952049927149,470.7965256963241,9
Node 0,5.530952049927149,471.3604328158825,9
Node 0,5.530952049927149,471.9234618390511,9
Node 0,5.530952049927149,472.48561331442653,9
Node 0,5.530952049927149,473.04688779604,9
Node 0,5.530952049927149,473.6072858433082,9
Node 0,5.530952049927149,474.1668080209854,9
Node 0,5.530952049927149,474.7254548991153,9
Node 0,5.530952049927149,475.2832270529834,9
Node 0,5.530952049927149,475.84012506307045,9
Node 0,5.530952049927149,476.3961495150051,9
Node 0,5.530952049927149,476.951300999518,9
